,unit,currencyCD,exchangeCD,ticker,dataDate,barTime,closePrice,highPrice,lowPrice,openPrice,shortNM,totalValue,totalVolume,vwap,ret,label,dealPrice,predict,adj_vol
1687,1,CNY,XSHE,002415,2019-12-04,09:30,31.08,31.08,31.08,31.08,海康威视,17019249.0,547600,31.07970964207451,0.0016019865315664017,1,31.07970964207451,-1,1000
1688,1,CNY,XSHE,002415,2019-12-04,09:31,30.88,31.05,30.88,31.05,海康威视,13834978.0,446600,30.97845499328258,-0.003257902018970471,0,30.97845499328258,-1,1000
1689,1,CNY,XSHE,002415,2019-12-04,09:32,30.82,30.88,30.77,30.88,海康威视,9085964.0,294900,30.810322143099356,-0.00542741238127209,0,30.810322143099356,-1,1000
1690,1,CNY,XSHE,002415,2019-12-04,09:33,30.91,30.91,30.8,30.8,海康威视,5608112.0,181800,30.847700770077008,0.0012131852047521097,1,30.847700770077008,-1,1000
1691,1,CNY,XSHE,002415,2019-12-04,09:34,30.82,30.91,30.81,30.91,海康威视,6033247.0,195500,30.860598465473146,0.0004181088079229234,1,30.860598465473146,-1,1000
1692,1,CNY,XSHE,002415,2019-12-04,09:35,30.9,30.93,30.82,30.82,海康威视,5950751.0,192700,30.880908147379348,0.0006581104358336365,1,30.880908147379348,-1,1000
1693,1,CNY,XSHE,002415,2019-12-04,09:36,30.89,30.9,30.88,30.89,海康威视,2931680.0,94900,30.892307692307693,0.0003691453915131149,1,30.892307692307693,-1,1000
1694,1,CNY,XSHE,002415,2019-12-04,09:37,30.92,30.92,30.88,30.89,海康威视,4171222.0,135000,30.89794074074074,0.00018234469529287978,1,30.89794074074074,-1,1000
1695,1,CNY,XSHE,002415,2019-12-04,09:38,30.91,30.93,30.9,30.92,海康威视,3762035.0,121700,30.912366474938374,0.00046688335377020884,1,30.912366474938374,-1,1000
1696,1,CNY,XSHE,002415,2019-12-04,09:39,30.91,30.92,30.9,30.91,海康威视,3347437.0,108300,30.90892890120037,-0.00011120383619911411,0,30.90892890120037,-1,1000
1697,1,CNY,XSHE,002415,2019-12-04,09:40,30.9,30.92,30.9,30.91,海康威视,2917816.0,94400,30.90906779661017,4.49369857635773e-06,1,30.90906779661017,-1,1000
1698,1,CNY,XSHE,002415,2019-12-04,09:41,30.87,30.91,30.87,30.91,海康威视,5535719.0,179200,30.8912890625,-0.0005751947689641712,0,30.8912890625,-1,1000
1699,1,CNY,XSHE,002415,2019-12-04,09:42,30.91,30.91,30.87,30.87,海康威视,2946695.0,95400,30.88778825995807,-0.00011332652822759748,0,30.88778825995807,-1,1000
1700,1,CNY,XSHE,002415,2019-12-04,09:43,30.93,30.94,30.91,30.91,海康威视,2897738.0,93700,30.92569903948773,0.001227371128375676,1,30.92569903948773,-1,1000
1701,1,CNY,XSHE,002415,2019-12-04,09:44,30.92,30.93,30.91,30.93,海康威视,2544944.0,82300,30.92277035236938,-9.47007572765779e-05,0,30.92277035236938,-1,1000
1702,1,CNY,XSHE,002415,2019-12-04,09:45,30.9,30.92,30.89,30.92,海康威视,2787866.0,90200,30.90760532150776,-0.0004904163077503743,0,30.90760532150776,-1,1000
1703,1,CNY,XSHE,002415,2019-12-04,09:46,30.86,30.9,30.86,30.89,海康威视,3764476.0,121900,30.881673502871205,-0.0008390109284367453,0,30.881673502871205,-1,1000
1704,1,CNY,XSHE,002415,2019-12-04,09:47,30.87,30.89,30.86,30.86,海康威视,5062870.0,164000,30.871158536585366,-0.00034049211370823507,0,30.871158536585366,-1,1000
1705,1,CNY,XSHE,002415,2019-12-04,09:48,30.84,30.89,30.83,30.89,海康威视,5329471.0,172700,30.859704690214244,-0.00037102094362762017,0,30.859704690214244,-1,1000
1706,1,CNY,XSHE,002415,2019-12-04,09:49,30.88,30.89,30.83,30.83,海康威视,3200591.0,103700,30.86394406943105,0.00013737588416229407,1,30.86394406943105,-1,1000
1707,1,CNY,XSHE,002415,2019-12-04,09:50,30.89,30.89,30.86,30.86,海康威视,4658815.0,150900,30.873525513585157,0.0003104413399841466,1,30.873525513585157,-1,1000
1708,1,CNY,XSHE,002415,2019-12-04,09:51,30.86,30.88,30.85,30.88,海康威视,3240185.0,105000,30.85890476190476,-0.0004735692292078264,0,30.85890476190476,-1,1000
1709,1,CNY,XSHE,002415,2019-12-04,09:52,30.86,30.87,30.85,30.86,海康威视,2515183.0,81500,30.86114110429448,7.246992098308702e-05,1,30.86114110429448,-1,1000
1710,1,CNY,XSHE,002415,2019-12-04,09:53,30.81,30.86,30.81,30.86,海康威视,7803642.0,253100,30.832248123271434,-0.0009362252978721841,0,30.832248123271434,-1,1000
1711,1,CNY,XSHE,002415,2019-12-04,09:54,30.78,30.81,30.74,30.81,海康威视,11384400.0,369900,30.776966747769666,-0.0017929725811995922,0,30.776966747769666,-1,1000
1712,1,CNY,XSHE,002415,2019-12-04,09:55,30.8,30.8,30.77,30.77,海康威视,5043030.0,163800,30.78772893772894,0.0003496832565559327,1,30.78772893772894,-1,1000
1713,1,CNY,XSHE,002415,2019-12-04,09:56,30.74,30.79,30.7,30.79,海康威视,17612503.0,572700,30.753453815261043,-0.0011132721915676491,0,30.753453815261043,-1,1000
